name,box_size,pc_per_arcsec,n_fit_points,relative_uncertainty,redchi,quality_score,quality_class,r0,sig2,m,s0,noise,r_fit_max,r0_over_rfitmax,s0_arcsec,noise_fraction,r0_frac_uncertainty,sig2_frac_uncertainty,s0_frac_uncertainty,noise_frac_uncertainty,m_abs_uncertainty,max_residual_run,n_active_flags,active_flags,r0_near_bound,sig2_near_bound,m_near_bound,s0_near_bound,noise_near_bound,large_r0_uncertainty,large_sig2_uncertainty,large_s0_uncertainty,large_noise_uncertainty,large_m_uncertainty,redchi_too_low,redchi_too_high,r0_larger_than_fit_range,r0_much_larger_than_fit_range,large_s0_arcsec,large_noise_fraction,systematic_residuals
LVM-30Dor-6563_G6,164.80887215128917,0.2424068405547679,22,0.0434782608695652,0.5062883426661403,19,D,164.8077063575458,39.87407347897321,1.9999999999939095,0.3636102313934266,21.76467535910181,81.33451054899315,2.02629492997651,1.4999998785565405,1.0185921422470847,0.4739493621613777,0.7180268177765691,0.9093062013040616,0.0519051508194159,0.6454511097360027,10,11,r0_near_bound; m_near_bound; s0_near_bound; large_sig2_uncertainty; large_s0_uncertainty; large_m_uncertainty; r0_larger_than_fit_range; r0_much_larger_than_fit_range; large_s0_arcsec; large_noise_fraction; systematic_residuals,True,False,True,True,False,False,True,True,False,True,False,False,True,True,True,True,True
LVM-30Dor-6563_G7,164.4234071449636,0.2424068405547679,26,0.0434782608695652,0.5431352413109026,15,D,29.03901469801067,7.257456919840044,1.3954730549024184,0.3636102605869904,16.939914930498936,81.33208077057174,0.3570425645438277,1.499999998988636,0.9306844765837168,4.499876655499616,2.5676888547484427,0.909136251600068,0.3102857882082376,0.8611825552867586,5,9,sig2_near_bound; s0_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_m_uncertainty; large_s0_arcsec; large_noise_fraction; systematic_residuals,False,True,False,True,False,True,True,True,False,True,False,False,False,False,True,True,True
LVM-30Dor-6563_G8,164.39583530949668,0.2424068405547679,21,0.05,0.6632626086516263,16,D,33.556171339604816,57.13954432284487,0.5489706381537497,0.3636102600090398,0.0010079095374725,81.40108840649845,0.4122324651487823,1.4999999966044186,3.1276155450175095e-05,3.719957733150397,0.7303093170313919,0.9083174943635336,19327.74975949588,0.4732644618036402,6,10,m_near_bound; s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_G9,166.0148836231959,0.2424068405547679,20,0.0328758116215994,0.627815434794543,7,D,13.540937767651112,25.02279182650308,1.5170075674816843,0.0242407021518982,8.154906921088735,81.40084398931218,0.1663488620514674,0.1000000746530972,0.2907282920658961,0.1424702406112669,0.1726345930351796,13.647424212800273,0.8229326089881057,0.3426148775774629,8,4,s0_near_bound; large_s0_uncertainty; large_m_uncertainty; systematic_residuals,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
LVM-30Dor-6563_H1,162.34098024812565,0.2424068405547679,25,0.1005678593749999,0.881035520337442,16,D,36.24799973395425,69.28861536843262,0.5695728918089693,0.3636093455381281,8.77580192880052e-10,72.48755862850422,0.5000582226768565,1.4999962241411104,3.9236040801956696e-11,3.385912380413086,0.9196393376553522,0.9052709776534846,20372298459.26698,0.3323993814846558,7,10,m_near_bound; s0_near_bound; noise_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_H10,165.34389227944632,0.2424068405547679,21,0.0378071833648393,0.5382692038796913,12,D,22.90924481291733,17.112017963411137,1.9760877505890924,0.0242406933505695,19.738260257550472,81.4003620019398,0.2814391023515521,0.10000003834501,0.9289267361362994,0.1247090775229386,0.2263903338664197,13.654808968667997,0.2466025201341515,0.5513461236686372,6,7,sig2_near_bound; m_near_bound; s0_near_bound; large_s0_uncertainty; large_m_uncertainty; large_noise_fraction; systematic_residuals,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,True
LVM-30Dor-6563_H11,165.67975390620686,0.2424068405547679,26,0.1758938145959959,0.8882428882015498,15,D,16.456338014798785,37.19470630716493,1.7024815042972912,0.3636101298907269,35.746449788598,81.33411784965871,0.2023300731584419,1.4999994598278468,1.034864717666575,8.847327985950143,4.387566857872002,0.911031322108936,0.944642971018483,1.183710289645821,6,9,sig2_near_bound; s0_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; large_m_uncertainty; large_s0_arcsec; large_noise_fraction; systematic_residuals,False,True,False,True,False,True,True,True,False,True,False,False,False,False,True,True,True
LVM-30Dor-6563_H12,166.56285031697786,0.2424068405547679,26,0.0661249999999999,0.8390331946844265,9,D,12.737340486787335,120.0699191293702,1.7367447637674998,0.0242406840958956,41.80723929462992,81.33526902218021,0.156602918265554,0.1000000001667397,0.5449225962953052,0.1229808376966436,0.167787770644702,13.643119739235704,0.6522948920235422,0.4024865312232952,7,5,s0_near_bound; large_s0_uncertainty; large_m_uncertainty; large_noise_fraction; systematic_residuals,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True
LVM-30Dor-6563_H13,166.55899727062348,0.2424068405547679,21,0.0434782608695652,0.5446891702842355,8,D,58.09458206880331,381.45203122029113,1.6531444251571243,0.0242408745590664,12.666272244851074,81.4003597178885,0.7136895005150262,0.1000007858837201,0.3358077349402883,1.1458151364706632,1.476272921410318,13.65509415973688,0.625306196821963,0.2435893468514658,8,5,s0_near_bound; large_r0_uncertainty; large_sig2_uncertainty; large_s0_uncertainty; systematic_residuals,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,True
LVM-30Dor-6563_H14,166.42374664534324,0.2424068405547679,21,0.0574999999999999,0.7608025997192334,11,D,15.380668581877334,79.9328660552921,1.3820196418317907,0.3636102602426732,1.3712101369280517e-08,81.40070784652536,0.1889500593886281,1.4999999975682257,3.2992630215801343e-10,0.1479202233278908,0.1429103945776125,0.9078752998894536,886020434.5347618,0.4191910349788887,5,7,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,True,False,False,False,False,True,False,True
LVM-30Dor-6563_H15,167.56812250226417,0.2424068405547679,26,0.0760437499999999,0.8878299046953434,6,C,16.979074601463317,37.21969473843622,1.2675885209407844,0.2588949692660629,3.884303030546079,81.33218979887218,0.2087620491154999,1.0680184134802488,0.3121609636345683,0.2602204499922296,0.2060524553677861,0.8728890345620287,1.2443861550477182,0.3342119328647268,7,4,large_s0_uncertainty; large_noise_uncertainty; large_m_uncertainty; systematic_residuals,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True
LVM-30Dor-6563_H16,167.66683467905233,0.2424068405547679,21,0.0378071833648393,0.584844335057089,9,D,11.940173941098603,7.950915778202995,1.105339981727239,0.363610260803115,1.0439575727910116e-07,81.33457151060448,0.1468031824516568,1.4999999998802138,1.7566625499667552e-08,0.16117487387961,0.1242823581576222,0.9034187330169368,11786161.468650425,0.2455963555900042,7,6,s0_near_bound; noise_near_bound; large_s0_uncertainty; large_noise_uncertainty; large_s0_arcsec; systematic_residuals,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True
