group,bin,line,fit_limit,fit_limits_used,parameter,value,err_lower,err_upper,lower_limit,upper_limit,n_samples
MUSE,2,Ar,,"(0.5, 0.6, 0.7)",sig2,8.793073343820208,1.3155675769203388,0.859578855016478,7.477505766899869,9.652652198836686,3
MUSE,2,Ar,,"(0.5, 0.6, 0.7)",r0,0.059309940316627535,0.013042322295932385,0.008329751946631297,0.04626761802069515,0.06763969226325883,3
MUSE,2,Ar,,"(0.5, 0.6, 0.7)",m,1.1092528266613313,0.07751848043575649,0.20311097230063857,1.0317343462255748,1.3123637989619699,3
MUSE,2,Ar,,"(0.5, 0.6, 0.7)",noise,1.6264209134724705,0.14500799051098734,0.47991123542503145,1.4814129229614832,2.106332148897502,3
MUSE,2,Ar,,"(0.5, 0.6, 0.7)",s0,0.5142146533392385,0.25422491892515664,2.7205880856785987,0.2599897344140819,3.2348027390178373,3
MUSE,2,H,,"(0.5, 0.6, 0.7)",sig2,8.34671494062136,1.1275786803701084,0.7693777188022981,7.219136260251252,9.116092659423659,3
MUSE,2,H,,"(0.5, 0.6, 0.7)",r0,0.06592878314758922,0.012318253993664027,0.008382157182655864,0.053610529153925196,0.07431094033024509,3
MUSE,2,H,,"(0.5, 0.6, 0.7)",m,1.1923862023521117,0.06080692009537536,0.14139822571424965,1.1315792822567363,1.3337844280663613,3
MUSE,2,H,,"(0.5, 0.6, 0.7)",noise,0.5733753953011691,0.06516191104973601,0.22673112302348952,0.5082134842514331,0.8001065183246586,3
MUSE,2,H,,"(0.5, 0.6, 0.7)",s0,0.4286795933134274,0.17680803181719498,2.1695992841637004,0.25187156149623247,2.598278877477128,3
MUSE,2,O,,"(0.5, 0.6, 0.7)",sig2,7.604264742197496,1.4949476460978062,1.1683861826932374,6.10931709609969,8.772650924890733,3
MUSE,2,O,,"(0.5, 0.6, 0.7)",r0,0.06221596952616251,0.016870597989909163,0.013361080449568657,0.04534537153625335,0.07557704997573117,3
MUSE,2,O,,"(0.5, 0.6, 0.7)",m,1.1736885323377757,0.10315503208781496,0.24855282974564563,1.0705335002499607,1.4222413620834213,3
MUSE,2,O,,"(0.5, 0.6, 0.7)",noise,0.8944563547667084,0.13488700099807738,0.36813023151945523,0.759569353768631,1.2625865862861636,3
MUSE,2,O,,"(0.5, 0.6, 0.7)",s0,0.44101207802392883,0.18535293654321397,2.8120485564743,0.2556591414807149,3.2530606344982287,3
MUSE,3,N,,"(0.5, 0.6, 0.7)",sig2,8.920723988620622,0.4224790457023708,0.4720088368638038,8.498244942918252,9.392732825484426,3
MUSE,3,N,,"(0.5, 0.6, 0.7)",r0,0.05643169619503089,0.004541411272331902,0.004670595624814242,0.05189028492269899,0.06110229181984513,3
MUSE,3,N,,"(0.5, 0.6, 0.7)",m,0.9479639058822739,0.05200772277374821,0.050102888544535706,0.8959561831085257,0.9980667944268096,3
MUSE,3,N,,"(0.5, 0.6, 0.7)",noise,0.3707165058907022,0.3447949944343977,0.2982045013553752,0.025921511456304502,0.6689210072460774,3
MUSE,3,N,,"(0.5, 0.6, 0.7)",s0,1.4092196113161108,1.1050919513413402,1.6518277346585402,0.30412765997477065,3.061047345974651,3
MUSE,3,S2,,"(0.5, 0.6, 0.7)",sig2,9.82571919011612,0.6704440209897999,0.573459515400403,9.15527516912632,10.399178705516523,3
MUSE,3,S2,,"(0.5, 0.6, 0.7)",r0,0.06458660434600613,0.006525724392364464,0.005004846056110401,0.05806087995364167,0.06959145040211653,3
MUSE,3,S2,,"(0.5, 0.6, 0.7)",m,1.1277427910251097,0.051497441378312026,0.07921015261412223,1.0762453496467976,1.206952943639232,3
MUSE,3,S2,,"(0.5, 0.6, 0.7)",noise,0.37409795819348624,0.15190770020291472,0.3022861471292697,0.22219025799057152,0.676384105322756,3
MUSE,3,S2,,"(0.5, 0.6, 0.7)",s0,0.9093728210673958,0.6260787410106885,2.2004688506763497,0.2832940800567073,3.1098416717437454,3
MUSE,3,Ar,,"(0.5, 0.6, 0.7)",sig2,9.332628019267325,0.944866207416478,0.7764762347057221,8.387761811850847,10.109104253973047,3
MUSE,3,Ar,,"(0.5, 0.6, 0.7)",r0,0.057812450848990754,0.00861319259385284,0.006869136760212738,0.04919925825513791,0.06468158760920349,3
MUSE,3,Ar,,"(0.5, 0.6, 0.7)",m,1.0545157486157926,0.07601863564810996,0.14086831076431094,0.9784971129676826,1.1953840593801035,3
MUSE,3,Ar,,"(0.5, 0.6, 0.7)",noise,1.0738063632282924,0.2826912314980624,0.5314420039871368,0.79111513173023,1.6052483672154292,3
