group,bin,line,fit_limit,fit_limits_used,selection_mode,parameter,value,err_lower,err_upper,lower_limit,upper_limit,n_samples
KPNO,0,S,,"(0.4, 0.5, 0.6)",average,s0,1.5944354157756706,0.3262706944290273,0.36535314433927146,1.2681647213466434,1.959788560114942,3
KPNO,0,H,,"(0.4, 0.5, 0.6)",average,sig2,11.09985311870193,0.34752791994245413,0.5276410229197364,10.752325198759475,11.627494141621666,3
KPNO,0,H,,"(0.4, 0.5, 0.6)",average,r0,0.06318427089774964,0.0025190066884549778,0.003924702596267787,0.06066526420929466,0.06710897349401743,3
KPNO,0,H,,"(0.4, 0.5, 0.6)",average,m,1.225150880353571,0.03316824130872731,0.02665668428774559,1.1919826390448436,1.2518075646413165,3
KPNO,0,H,,"(0.4, 0.5, 0.6)",average,noise,0.024556808653073785,0.004688596915290694,0.004533478422393215,0.019868211737783092,0.029090287075467,3
KPNO,0,H,,"(0.4, 0.5, 0.6)",average,s0,1.8211944741788546,0.22445215612711603,0.2684721250737091,1.5967423180517386,2.089666599252564,3
KPNO,0,O,,"(0.4, 0.5, 0.6)",average,sig2,10.479361264377367,0.5579079785962229,0.878433045536962,9.921453285781144,11.357794309914329,3
KPNO,0,O,,"(0.4, 0.5, 0.6)",average,r0,0.06161541409313023,0.004304993000708433,0.006793299930448915,0.0573104210924218,0.06840871402357915,3
KPNO,0,O,,"(0.4, 0.5, 0.6)",average,m,1.227485261456433,0.050199460941087404,0.04465066029235598,1.1772858005153457,1.272135921748789,3
KPNO,0,O,,"(0.4, 0.5, 0.6)",average,noise,0.021766185778482248,0.006742515355095128,0.004998815143403286,0.01502367042338712,0.026765000921885534,3
KPNO,0,O,,"(0.4, 0.5, 0.6)",average,s0,1.7387475484484185,0.348067312358666,0.3567343922821019,1.3906802360897526,2.0954819407305205,3
